Gym_ID,Gym_Name,Brand,Parent_Category,Price_Tier,Gym_Format,Direct_Budget_Competitor,Major_Chain,Municipality,Market_Zone,Market_Zone_Assignment_Method,Market_Zone_Assignment_Distance_km,Address,Latitude,Longitude,Equipment_Access,Open_24_7_Status,Open_24_7_Flag,Personal_Training,Personal_Training_Flag,Group_Classes,Group_Classes_Flag,Women_Only_Area,Pool,Sauna,Tanning,Tanning_Flag,Hydromassage,Hydromassage_Flag,Parking,Google_Rating,Google_Review_Count,Source_URL,Source_Type,Amenity_Source_Level,Record_Source_Quality,Data_Collection_Date,Verification_Status,Notes,Review_Source,Review_URL,Review_Collection_Date,Review_Data_Status,Review_Confidence,Top_Positive_Review_Theme,Top_Negative_Review_Theme,Common_Complaint,Common_Strength,Customer_Satisfaction_Gap_Flag,Major_Chain_Verification_Level,Major_Chain_Verification_Method,Official_Locator_URL,Row_Level_Official_Verification_Status,Fresh_SerpApi_Checked_Date,Fresh_SerpApi_Status,Fresh_Location_Match_Status,Fresh_Match_Score,Fresh_SerpApi_Result_Title,Fresh_SerpApi_Result_Address,Fresh_SerpApi_Rating,Fresh_SerpApi_Review_Count,Fresh_Crossmatch_Action
GYM_FULL_0011,Fit4Less Hamilton Barton at Centennial Pkwy,Fit4Less,Budget Chain,Budget,Big-box budget gym,Yes,Yes,Hamilton,East Hamilton,Nearest market-zone centroid within municipality,3.05,"2425 Barton Street East, Hamilton, ON L8E 2W7",43.2370414,-79.7606453,Yes,Yes,1,No / Not core brand feature,0,Limited / Not core brand feature,0,Unknown,No,No,Brand amenity at participating clubs,1,Brand amenity at participating clubs,1,Needs location verification,4,382,https://www.fit4less.ca/locations/provinces/ontario/hamilton/hamilton-barton-at-centennial-pkwy,Official brand page plus geocoding,Inferred from brand/category unless source record confirms location service,Higher confidence starter record; still verify final zone/services,2026-07-26,Major chain verified against official Fit4Less location source; Google rating/review count populated via SerpApi; SerpApi rating/location Strong match; Fresh SerpApi Strong match,,SerpApi Google Maps API,,2026-07-30,Fresh SerpApi cross-match collected; Strong match,Strong match,,,,,Not available until reviews collected,High,Official Fit4Less location pages/list used for Dataset C chain records.,https://www.fit4less.ca/locations/provinces/ontario/hamilton/hamilton-barton-at-centennial-pkwy,Official row-level source checked,2026-07-30,OK,Strong match,91.4,Fit4Less,"2425 Barton St E, Hamilton, ON L8E 2W7",4,382,Fresh rating/review applied from SerpApi strong/likely location match
GYM_FULL_0012,Fit4Less St. Catharines Fairview,Fit4Less,Budget Chain,Budget,Big-box budget gym,Yes,Yes,St. Catharines,Northwest St. Catharines,Nearest market-zone centroid within municipality,1.19,"285 Geneva Street, St. Catharines, ON L2N 2E9",43.1777644,-79.2441118,Yes,Yes,1,No / Not core brand feature,0,Limited / Not core brand feature,0,Unknown,No,No,Brand amenity at participating clubs,1,Brand amenity at participating clubs,1,Needs location verification,3.9,355,https://www.fit4less.ca/locations/provinces/ontario/st-catharines/st-catharines-fairview,Official brand page plus geocoding,Inferred from brand/category unless source record confirms location service,Higher confidence starter record; still verify final zone/services,2026-07-26,Major chain verified against official Fit4Less location source; Google rating/review count populated via SerpApi; SerpApi rating/location Strong match; Fresh SerpApi Strong match,,SerpApi Google Maps API,,2026-07-30,Fresh SerpApi cross-match collected; Strong match,Strong match,,,,,Not available until reviews collected,High,Official Fit4Less location pages/list used for Dataset C chain records.,https://www.fit4less.ca/locations/provinces/ontario/st-catharines/st-catharines-fairview,Official row-level source checked,2026-07-30,OK,Strong match,95,Fit4Less,"285 Geneva St, St. Catharines, ON L2N 2E9",3.9,355,Fresh rating/review applied from SerpApi strong/likely location match
GYM_FULL_0013,Fit4Less St. Catharines Glendale Ave,Fit4Less,Budget Chain,Budget,Big-box budget gym,Yes,Yes,St. Catharines,Southeast St. Catharines,Nearest market-zone centroid within municipality,1.56,"221 Glendale Ave, St. Catharines, ON L2T 2K9",43.1359869,-79.2250563,Yes,Yes,1,No / Not core brand feature,0,Limited / Not core brand feature,0,Unknown,No,No,Brand amenity at participating clubs,1,Brand amenity at participating clubs,1,Needs location verification,3.9,256,https://www.fit4less.ca/locations/provinces/ontario/st-catharines/st-catharines-glendale-ave,Official brand page plus geocoding,Inferred from brand/category unless source record confirms location service,Higher confidence starter record; still verify final zone/services,2026-07-26,Major chain verified against official Fit4Less location source; Google rating/review count populated via SerpApi; SerpApi rating/location Strong match; Fresh SerpApi Strong match,,SerpApi Google Maps API,,2026-07-30,Fresh SerpApi cross-match collected; Strong match,Strong match,,,,,Not available until reviews collected,High,Official Fit4Less location pages/list used for Dataset C chain records.,https://www.fit4less.ca/locations/provinces/ontario/st-catharines/st-catharines-glendale-ave,Official row-level source checked,2026-07-30,OK,Strong match,100,Fit4Less,"221 Glendale Ave, St. Catharines, ON L2T 2K9",3.9,256,Fresh rating/review applied from SerpApi strong/likely location match
GYM_FULL_0014,Fit4Less Barrie Cundles Road,Fit4Less,Budget Chain,Budget,Big-box budget gym,Yes,Yes,Barrie,Northeast Barrie,Nearest market-zone centroid within municipality,1.54,"201 Cundles Road East, Barrie, ON L4M 4S5",44.4115243,-79.6885478,Yes,Yes,1,No / Not core brand feature,0,Limited / Not core brand feature,0,Unknown,No,No,Brand amenity at participating clubs,1,Brand amenity at participating clubs,1,Needs location verification,4,443,https://www.fit4less.ca/locations/provinces/ontario/barrie/barrie-cundles-road,Official brand page plus geocoding,Inferred from brand/category unless source record confirms location service,Higher confidence starter record; still verify final zone/services,2026-07-26,Major chain verified against official Fit4Less location source; Google rating/review count populated via SerpApi; SerpApi rating/location Strong match; Fresh SerpApi Strong match,,SerpApi Google Maps API,,2026-07-30,Fresh SerpApi cross-match collected; Strong match,Strong match,,,,,Not available until reviews collected,High,Official Fit4Less location pages/list used for Dataset C chain records.,https://www.fit4less.ca/locations/provinces/ontario/barrie/barrie-cundles-road,Official row-level source checked,2026-07-30,OK,Strong match,91.4,Fit4Less,"201 Cundles Rd E, Barrie, ON L4M 4S5",4,443,Fresh rating/review applied from SerpApi strong/likely location match
GYM_FULL_0015,Fit4Less Kingston Norwest,Fit4Less,Budget Chain,Budget,Big-box budget gym,Yes,Yes,Kingston,West Kingston,Nearest market-zone centroid within municipality,0.88,"824 Norwest Road, Kingston, ON K7P 2N4",44.2578665,-76.574808,Yes,Yes,1,No / Not core brand feature,0,Limited / Not core brand feature,0,Unknown,No,No,Brand amenity at participating clubs,1,Brand amenity at participating clubs,1,Needs location verification,3.3,274,https://www.fit4less.ca/locations/provinces/ontario/kingston/kingston-norwest,Official brand page plus geocoding,Inferred from brand/category unless source record confirms location service,Higher confidence starter record; still verify final zone/services,2026-07-26,Major chain verified against official Fit4Less location source; Google rating/review count populated via SerpApi; SerpApi rating/location Strong match; Fresh SerpApi Strong match,,SerpApi Google Maps API,,2026-07-30,Fresh SerpApi cross-match collected; Strong match,Strong match,,,,,Not available until reviews collected,High,Official Fit4Less location pages/list used for Dataset C chain records.,https://www.fit4less.ca/locations/provinces/ontario/kingston/kingston-norwest,Official row-level source checked,2026-07-30,OK,Strong match,95,Fit4Less,"824 Norwest Rd, Kingston, ON K7P 2N4",3.3,274,Fresh rating/review applied from SerpApi strong/likely location match
GYM_FULL_0016,Fit4Less Thunder Bay Intercity,Fit4Less,Budget Chain,Budget,Big-box budget gym,Yes,Yes,Thunder Bay,Southeast Thunder Bay,Nearest market-zone centroid within municipality,1.79,"1000 Fort William Rd, Thunder Bay, ON P7B 6B9",48.4037903,-89.2437158,Yes,Yes,1,No / Not core brand feature,0,Limited / Not core brand feature,0,Unknown,No,No,Brand amenity at participating clubs,1,Brand amenity at participating clubs,1,Needs location verification,4,236,https://www.fit4less.ca/locations/provinces/ontario/thunder-bay/thunder-bay-intercity,Official brand page plus geocoding,Inferred from brand/category unless source record confirms location service,Higher confidence starter record; still verify final zone/services,2026-07-26,Major chain verified against official Fit4Less location source; Google rating/review count populated via SerpApi; SerpApi rating/location Strong match; Fresh SerpApi Strong match,,SerpApi Google Maps API,,2026-07-30,Fresh SerpApi cross-match collected; Strong match,Strong match,,,,,Not available until reviews collected,High,Official Fit4Less location pages/list used for Dataset C chain records.,https://www.fit4less.ca/locations/provinces/ontario/thunder-bay/thunder-bay-intercity,Official row-level source checked,2026-07-30,OK,Strong match,97,Fit4Less,"1000 Fort William Rd, Thunder Bay, ON P7B 6B9",4,236,Fresh rating/review applied from SerpApi strong/likely location match
GYM_FULL_0017,Planet Fitness Windsor Enterprise Way,Planet Fitness,Budget Chain,Budget,Big-box budget gym,Yes,Yes,Windsor,Northeast Windsor,Nearest market-zone centroid within municipality,1.8,"7155 Enterprise Way, Windsor, ON N8T 3N6",42.3102153,-82.9397367,Yes,Likely,0,Yes / fitness training,1,Limited / PE@PF training,1,Unknown,No,No,Black Card Spa amenity at many clubs,1,Black Card Spa amenity at many clubs,1,Needs location verification,4.5,515,https://www.planetfitness.ca/clubs/on/windsor,Official brand page plus geocoding,Inferred from brand/category unless source record confirms location service,Higher confidence starter record; still verify final zone/services,2026-07-26,Major chain verified against official Planet Fitness location source; Google rating/review count populated via SerpApi; SerpApi rating/location Strong match; Fresh SerpApi Strong match,,SerpApi Google Maps API,,2026-07-30,Fresh SerpApi cross-match collected; Strong match,Strong match,,,,,Not available until reviews collected,High,Official Planet Fitness pages used for named official rows; remaining rows need official locator confirmation.,https://www.planetfitness.ca/clubs/on,Official row-level source checked,2026-07-30,OK,Strong match,100,Planet Fitness,"7155 Enterprise Way, Windsor, ON N8T 3N6",4.5,515,Fresh rating/review applied from SerpApi strong/likely location match
GYM_FULL_0018,Planet Fitness Windsor Walker Rd,Planet Fitness,Budget Chain,Budget,Big-box budget gym,Yes,Yes,Windsor,South Windsor,Nearest market-zone centroid within municipality,2.71,"4330 Walker Rd, Windsor, ON N8W 3T5",42.2571434,-82.9641812,Yes,Likely,0,Yes / fitness training,1,Limited / PE@PF training,1,Unknown,No,No,Black Card Spa amenity at many clubs,1,Black Card Spa amenity at many clubs,1,Needs location verification,4.3,414,https://www.planetfitness.ca/clubs/on/windsor,Official brand page plus geocoding,Inferred from brand/category unless source record confirms location service,Higher confidence starter record; still verify final zone/services,2026-07-26,Major chain verified against official Planet Fitness location source; Google rating/review count populated via SerpApi; SerpApi rating/location Strong match; Fresh SerpApi Strong match,,SerpApi Google Maps API,,2026-07-30,Fresh SerpApi cross-match collected; Strong match,Strong match,,,,,Not available until reviews collected,High,Official Planet Fitness pages used for named official rows; remaining rows need official locator confirmation.,https://www.planetfitness.ca/clubs/on,Official row-level source checked,2026-07-30,OK,Strong match,100,Planet Fitness,"4330 Walker Rd, Windsor, ON N8W 3T5",4.3,414,Fresh rating/review applied from SerpApi strong/likely location match
GYM_FULL_0019,Planet Fitness London Oxbury Mall,Planet Fitness,Budget Chain,Budget,Big-box budget gym,Yes,Yes,London,Northeast London,Nearest market-zone centroid within municipality,1.94,"1299 Oxford Street East, London, ON N5Y 4W5",43.007359,-81.211955,Yes,Likely,0,Yes / fitness training,1,Limited / PE@PF training,1,Unknown,No,No,Black Card Spa amenity at many clubs,1,Black Card Spa amenity at many clubs,1,Needs location verification,4,860,https://www.planetfitness.ca/clubs/on/london,Official brand page plus geocoding,Inferred from brand/category unless source record confirms location service,Higher confidence starter record; still verify final zone/services,2026-07-26,Major chain verified against official Planet Fitness location source; Google rating/review count populated via SerpApi; SerpApi rating/location Strong match; Fresh SerpApi Strong match,,SerpApi Google Maps API,,2026-07-30,Fresh SerpApi cross-match collected; Strong match,Strong match,,,,,Not available until reviews collected,High,Official Planet Fitness pages used for named official rows; remaining rows need official locator confirmation.,https://www.planetfitness.ca/clubs/on,Official row-level source checked,2026-07-30,OK,Strong match,91.4,Planet Fitness,"1299 Oxford St E, London, ON N5Y 4W5",4,860,Fresh rating/review applied from SerpApi strong/likely location match
GYM_FULL_0020,Planet Fitness Barrie,Planet Fitness,Budget Chain,Budget,Big-box budget gym,Yes,Yes,Barrie,Northwest Barrie,Nearest market-zone centroid within municipality,1.15,"320 Bayfield Street, Barrie, ON L4M 3C1",44.3995987,-79.7019116,Yes,Likely,0,Yes / fitness training,1,Limited / PE@PF training,1,Unknown,No,No,Black Card Spa amenity at many clubs,1,Black Card Spa amenity at many clubs,1,Needs location verification,4.1,622,https://www.planetfitness.ca/clubs/on/barrie,Official brand page plus geocoding,Inferred from brand/category unless source record confirms location service,Higher confidence starter record; still verify final zone/services,2026-07-26,Major chain verified against official Planet Fitness location source; Google rating/review count populated via SerpApi; SerpApi rating/location Strong match; Fresh SerpApi Strong match,,SerpApi Google Maps API,,2026-07-30,Fresh SerpApi cross-match collected; Strong match,Strong match,,,,,Not available until reviews collected,High,Official Planet Fitness pages used for named official rows; remaining rows need official locator confirmation.,https://www.planetfitness.ca/clubs/on,Official row-level source checked,2026-07-30,OK,Strong match,95,Planet Fitness,"320 Bayfield St, Barrie, ON L4M 3C1",4.1,622,Fresh rating/review applied from SerpApi strong/likely location match
GYM_FULL_0021,Planet Fitness Oshawa,Planet Fitness,Budget Chain,Budget,Big-box budget gym,Yes,Yes,Oshawa,Southeast Oshawa,Nearest market-zone centroid within municipality,1.69,"555 Simcoe St S, Oshawa, ON L1H 8K8",43.8827156,-78.855822,Yes,Yes,1,Yes / fitness training,1,Limited / PE@PF training,1,Unknown,No,No,Black Card Spa amenity at many clubs,1,Black Card Spa amenity at many clubs,1,Needs location verification,4.2,378,https://www.planetfitness.ca/gyms/oshawa,Official brand page plus geocoding,Inferred from brand/category unless source record confirms location service,Higher confidence starter record; still verify final zone/services,2026-07-26,Major chain verified against official Planet Fitness location source; Google rating/review count populated via SerpApi; SerpApi rating/location Strong match; Fresh SerpApi Strong match,,SerpApi Google Maps API,,2026-07-30,Fresh SerpApi cross-match collected; Strong match,Strong match,,,,,Not available until reviews collected,High,Official Planet Fitness pages used for named official rows; remaining rows need official locator confirmation.,https://www.planetfitness.ca/clubs/on,Official row-level source checked,2026-07-30,OK,Strong match,100,Planet Fitness,"555 Simcoe St S, Oshawa, ON L1H 8K8",4.2,378,Fresh rating/review applied from SerpApi strong/likely location match
