Province,Municipality,Market_Zone,Draft_Zone_Label,Zone_Type,Zone_Basis,Review_Status,Number_of_DAs,Population,Land_Area_km2,Population_Density,Municipality_Pop_Growth_Pct,Median_Household_Income,Average_Household_Income,Age_20_34,Age_20_34_Pct,Age_18_34_Estimated,Age_18_34_Pct,Student_Age_Proxy_20_24,Student_Age_Proxy_20_24_Pct,Occupied_Dwellings,Apartment_Dwellings,Apartment_Pct,Renter_Households,Renter_Pct,Labour_Force,Employed,Unemployed,Employment_Rate,Unemployment_Rate,Demand_Fit_Score_Preliminary
Ontario,London,Central London,Central,Student / Young Adult Market,"Draft spatial cluster of nearby dissemination areas; validate with local roads, neighbourhoods, anchors, and retail corridors.",Draft - needs local validation,115,66084,23.59,2801.4,0.1,63103,77565,20375,0.3083197143030083,21415,0.32405726045638883,5810,0.08791840687609709,34290,20480,0.5972586759988335,20540,0.6000584282792871,36915,31540,5370,55.58198960260816,14.546932141405932,80.5
Ontario,London,Northeast London,Northeast,Lower-Density Residential Market,"Draft spatial cluster of nearby dissemination areas; validate with local roads, neighbourhoods, anchors, and retail corridors.",Draft - needs local validation,100,61801,55.62,1111.1,0.1,69190,78299,15855,0.25654924677594215,17177,0.27794048639989644,5205,0.0842219381563405,25580,7240,0.2830336200156372,10695,0.4174473067915691,32470,27775,4735,53.4545804464973,14.582691715429627,58.3
Ontario,London,Southeast London,Southeast,Lower-Density Residential Market,"Draft spatial cluster of nearby dissemination areas; validate with local roads, neighbourhoods, anchors, and retail corridors.",Draft - needs local validation,71,48497,78.48,618,0.1,77900,86952,9680,0.1995999752562014,10798,0.2226529476050065,2805,0.057838629193558366,19125,3890,0.20339869281045753,6015,0.31450980392156863,24210,20925,3200,53.264604810996566,13.217678645187938,48.3
Ontario,London,South London,South,Lower-Density Residential Market,"Draft spatial cluster of nearby dissemination areas; validate with local roads, neighbourhoods, anchors, and retail corridors.",Draft - needs local validation,92,70842,139.02,509.6,0.1,80115,93422,13790,0.1946585358967844,15444,0.21800626746845092,4045,0.057098896135061125,28240,9770,0.3459631728045326,11685,0.41436170212765955,34140,29455,4685,51.36454791176214,13.72290568248389,53.2
Ontario,London,Southwest London,Southwest,Higher-Income Suburban Market,"Draft spatial cluster of nearby dissemination areas; validate with local roads, neighbourhoods, anchors, and retail corridors.",Draft - needs local validation,56,39910,43.68,913.7,0.1,115527,140410,5275,0.1321723878727136,6239,0.15632673515409673,1920,0.04810824354798296,15795,2485,0.15732826843937955,3435,0.21774960380348654,19115,17030,2065,52.27935533384497,10.803034266283024,36.1
Ontario,London,West London,West,Mixed Residential Market,"Draft spatial cluster of nearby dissemination areas; validate with local roads, neighbourhoods, anchors, and retail corridors.",Draft - needs local validation,68,62248,27.29,2281,0.1,85829,98131,15330,0.24627297262562653,16844,0.2705950391980465,5520,0.08867754787302404,24660,8795,0.3566504460665045,11105,0.44941319303925537,31405,27380,4060,53.48700918148076,12.927877726476675,65.7
Ontario,Oshawa,North Oshawa,North,Higher-Income Suburban Market,"Draft spatial cluster of nearby dissemination areas; validate with local roads, neighbourhoods, anchors, and retail corridors.",Draft - needs local validation,71,58132,31.86,1824.6,0.1,102632,114339,10655,0.18328975435216405,12221,0.2102284456065506,3615,0.062186059313287,20235,3995,0.19743019520632568,6395,0.3155687145324451,28990,24685,4300,52.443169747185046,14.832700931355639,49.6
Ontario,Oshawa,Southwest Oshawa,Southwest,Mixed Residential Market,"Draft spatial cluster of nearby dissemination areas; validate with local roads, neighbourhoods, anchors, and retail corridors.",Draft - needs local validation,89,49350,26.38,1870.7,0.1,76776,87686,10420,0.21114488348530902,11338,0.2297467071935157,2865,0.05805471124620061,21085,8355,0.3962532606118093,9285,0.44151212553495006,23790,20150,3645,49.278552213255075,15.32156368221942,62.8
Ontario,Oshawa,Southeast Oshawa,Southeast,Mixed Residential Market,"Draft spatial cluster of nearby dissemination areas; validate with local roads, neighbourhoods, anchors, and retail corridors.",Draft - needs local validation,92,50401,24.55,2053,0.1,83234,94643,10725,0.2127933969564096,11685,0.23184063808257774,2785,0.05525684014206067,19875,5070,0.2550943396226415,6420,0.32277526395173456,25550,21560,4040,51.449707672115494,15.812133072407045,56.3
Ontario,Oshawa,Northwest Oshawa,Northwest,Higher-Income Suburban Market,"Draft spatial cluster of nearby dissemination areas; validate with local roads, neighbourhoods, anchors, and retail corridors.",Draft - needs local validation,13,17500,62.94,278,0.1,106678,121229,4560,0.26057142857142856,5010,0.2862857142857143,1535,0.08771428571428572,5465,240,0.04391582799634035,1720,0.3179297597042514,9155,7800,1345,58.42696629213483,14.691425450573457,42.9
Ontario,St. Catharines,Southwest St. Catharines,Southwest,Lower-Density Residential Market,"Draft spatial cluster of nearby dissemination areas; validate with local roads, neighbourhoods, anchors, and retail corridors.",Draft - needs local validation,39,24763,30.84,803,0.027999999999999997,82199,104352,5435,0.21948067681621775,6071,0.24516415620078344,2005,0.08096757258813553,10120,2795,0.27618577075098816,3635,0.3588351431391905,12610,10590,2000,51.14706592610481,15.860428231562251,52.5
Ontario,St. Catharines,Northwest St. Catharines,Northwest,Mixed Residential Market,"Draft spatial cluster of nearby dissemination areas; validate with local roads, neighbourhoods, anchors, and retail corridors.",Draft - needs local validation,69,40642,26.86,1513.1,0.027999999999999997,77032,91510,7450,0.18330790807539,8200,0.20176172432459033,2200,0.05413119433098765,17955,5610,0.31244778613199664,6245,0.34694444444444444,19730,16850,2895,49.61719670200235,14.673086670045615,54.6
Ontario,St. Catharines,Northeast St. Catharines,Northeast,Mixed Residential Market,"Draft spatial cluster of nearby dissemination areas; validate with local roads, neighbourhoods, anchors, and retail corridors.",Draft - needs local validation,77,43262,19.78,2187.2,0.027999999999999997,74827,85928,7295,0.16862373445518006,8141,0.18817900235772733,2185,0.05050621792797374,18500,4750,0.25675675675675674,6210,0.3358572201189832,20595,17345,3265,47.68384879725086,15.853362466618112,55.6
Ontario,St. Catharines,Southeast St. Catharines,Southeast,Mixed Residential Market,"Draft spatial cluster of nearby dissemination areas; validate with local roads, neighbourhoods, anchors, and retail corridors.",Draft - needs local validation,44,28136,18.7,1504.6,0.027999999999999997,69409,80153,6605,0.23475263008245664,7141,0.25380295706568096,2090,0.07428205857264714,12295,4240,0.34485563237088246,4780,0.3902040816326531,14175,11745,2445,49.07039899728431,17.24867724867725,58.9
Ontario,Thunder Bay,West Thunder Bay,West,Higher-Income Suburban Market,"Draft spatial cluster of nearby dissemination areas; validate with local roads, neighbourhoods, anchors, and retail corridors.",Draft - needs local validation,18,10698,171.06,62.5,0.009000000000000001,126099,141705,1570,0.14675640306599363,1814,0.1695644045616003,615,0.05748738081884464,4065,65,0.015990159901599015,160,0.03975155279503106,5495,5035,455,56.41456582633053,8.280254777070063,23
Ontario,Thunder Bay,Southwest Thunder Bay,Southwest,Mixed Residential Market,"Draft spatial cluster of nearby dissemination areas; validate with local roads, neighbourhoods, anchors, and retail corridors.",Draft - needs local validation,54,27465,21.89,1254.7,0.009000000000000001,78988,89433,5475,0.1993446204259967,5993,0.21820498816675768,1650,0.060076460950300385,12125,2640,0.2177319587628866,3495,0.286123618501842,13245,11830,1400,51.3232104121475,10.570026425066063,50.2
Ontario,Thunder Bay,Southeast Thunder Bay,Southeast,Value-Oriented Rental Market,"Draft spatial cluster of nearby dissemination areas; validate with local roads, neighbourhoods, anchors, and retail corridors.",Draft - needs local validation,35,16415,28.8,570,0.009000000000000001,60023,70030,4025,0.24520255863539445,4321,0.2632348461772769,1320,0.08041425525434054,7810,3045,0.38988476312419973,3560,0.454661558109834,7745,6665,1065,49.18819188191882,13.750806972240154,56.3
Ontario,Thunder Bay,Northeast Thunder Bay,Northeast,Lower-Density Residential Market,"Draft spatial cluster of nearby dissemination areas; validate with local roads, neighbourhoods, anchors, and retail corridors.",Draft - needs local validation,106,54265,106.01,511.9,0.009000000000000001,82815,94745,11275,0.2077766516170644,12397,0.2284529623145674,3715,0.06846033354832765,24400,7050,0.2889344262295082,8355,0.34290991175867025,26875,23860,2950,52.175814563743714,10.976744186046512,50
Ontario,Waterloo,Southwest Waterloo,Southwest,Higher-Income Suburban Market,"Draft spatial cluster of nearby dissemination areas; validate with local roads, neighbourhoods, anchors, and retail corridors.",Draft - needs local validation,42,31722,13.66,2322.3,0.157,115378,137907,6665,0.21010655065884876,7529,0.23734316877876552,2495,0.07865203959397264,11530,1870,0.16218560277536861,3085,0.2636752136752137,16825,14910,1885,56.886684471575734,11.203566121842497,49.9
Ontario,Waterloo,West Waterloo,West,Higher-Income Suburban Market,"Draft spatial cluster of nearby dissemination areas; validate with local roads, neighbourhoods, anchors, and retail corridors.",Draft - needs local validation,34,26935,19.52,1379.9,0.157,118884,142732,5315,0.19732689808798962,6155,0.22851308706144421,1965,0.07295340634861704,8860,900,0.10158013544018059,1740,0.19627749576988154,13965,12400,1550,58.71212121212122,11.099176512710347,41.1
Ontario,Waterloo,East Waterloo,East,Student / Young Adult Market,"Draft spatial cluster of nearby dissemination areas; validate with local roads, neighbourhoods, anchors, and retail corridors.",Draft - needs local validation,46,38307,12.59,3042.7,0.157,69341,85767,17010,0.4440441694729423,17906,0.467434150416373,7975,0.20818649333020076,17615,12060,0.6846437695146183,11320,0.6498277841561424,21000,17910,3025,54.08425184961497,14.404761904761903,86.6
Ontario,Waterloo,Northeast Waterloo,Northeast,Higher-Income Suburban Market,"Draft spatial cluster of nearby dissemination areas; validate with local roads, neighbourhoods, anchors, and retail corridors.",Draft - needs local validation,33,24472,18.28,1338.7,0.157,123386,153511,4560,0.18633540372670807,5268,0.21526642693690748,1680,0.06864988558352403,8945,1460,0.16321967579653437,1985,0.22031076581576026,14190,12765,1430,62.65030674846626,10.077519379844961,42.3
Ontario,Windsor,Northeast Windsor,Northeast,Mixed Residential Market,"Draft spatial cluster of nearby dissemination areas; validate with local roads, neighbourhoods, anchors, and retail corridors.",Draft - needs local validation,61,48462,23.67,2047.4,0.057,82359,94659,8455,0.17446659238165985,9597,0.19803144731954933,2500,0.0515868102843465,19455,4235,0.21768182986378823,5575,0.2867798353909465,22350,18110,4195,45.229770229770224,18.769574944071586,51.5
Ontario,Windsor,Northeast 2 Windsor,Northeast 2,Mixed Residential Market,"Draft spatial cluster of nearby dissemination areas; validate with local roads, neighbourhoods, anchors, and retail corridors.",Draft - needs local validation,82,42018,18.87,2226.7,0.057,68848,81797,7980,0.18991860631158075,8816,0.20981484125850824,2280,0.05426245894616593,19075,4815,0.2524246395806029,6310,0.3316688567674113,19665,15760,3900,44.620611551528874,19.832189168573606,55.3
Ontario,Windsor,South Windsor,South,Higher-Income Suburban Market,"Draft spatial cluster of nearby dissemination areas; validate with local roads, neighbourhoods, anchors, and retail corridors.",Draft - needs local validation,68,48189,53.64,898.4,0.057,102827,119744,8905,0.18479321006868787,10329,0.2143435223806263,3340,0.06931042354064205,16440,730,0.04440389294403893,2185,0.13274605103280682,23340,19505,3780,49.83392948390393,16.195372750642672,35.6
Ontario,Windsor,Northwest Windsor,Northwest,Value-Oriented Rental Market,"Draft spatial cluster of nearby dissemination areas; validate with local roads, neighbourhoods, anchors, and retail corridors.",Draft - needs local validation,118,59563,17.83,3340.6,0.057,55926,66800,16125,0.27072175679532595,17293,0.2903312459076944,5220,0.08763829894397529,27635,14135,0.5114890537362041,16040,0.5805284111473037,27505,22025,5525,44.15597433841219,20.087256862388656,76.8
Ontario,Windsor,West Windsor,West,Lower-Density Residential Market,"Draft spatial cluster of nearby dissemination areas; validate with local roads, neighbourhoods, anchors, and retail corridors.",Draft - needs local validation,53,31428,32.04,980.9,0.057,70863,83139,8035,0.2556637393407153,8889,0.2828369606720122,3085,0.09816087565228458,11645,2895,0.24860455130957493,5230,0.4473909324208725,14100,11355,2750,44.64320817770788,19.50354609929078,56.8
